id,amountUSD,budgetYear,createdAt,date,decisionDate,description,firstReportedDate,flowType,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,source_Organization_id,source_UsageYear_id,Donor,source_UsageYear_name,destination_Plan_id,destination_Organization_id,destination_GlobalCluster_id,destination_Location_id,destination_iso3,destination_Project_id,destination_UsageYear_id,destination_Plan_name,Recipient.Organization,destination_GlobalCluster_name,Destination.Country,destination_Project_name,destination_UsageYear_name,report_type,report_organisation,report_channel,report_date,originalAmount,source_Location_id,source_iso3,source_Location_name,destination_Emergency_id,destination_Emergency_name,refCode,source_GlobalCluster_id,source_GlobalCluster_name,exchangeRate,source_Plan_id,source_Plan_name,grandBargainEarmarkingType,source_Emergency_id,source_Emergency_name,source_Project_id,source_Project_name,destination_Cluster_id,destination_Cluster_name,source_Cluster_id,source_Cluster_name,analysis_date,emergency_boundary,plan_boundary,description_search_flag,potential_overlap_flag
130063,276549,2015,2015-06-02T17:52:00Z,2015-05-22T00:00:00Z,2015-05-22T00:00:00Z,to be allocated to specific projects,2015-06-02T17:52:00Z,Standard,t,EUR,Traditional aid,,paid,2015-06-02,1,incoming,single,3021,37,UNICEF National Committee/Switzerland,2015,486,2915,"",156,NPL,,37,Nepal Earthquake Flash Appeal 2015,United Nations Children's Fund,"",Nepal,"",2015,Primary,United Nations Children's Fund,Other,2015-06-02T17:52:00.000Z,250000,"","","",629,NEPAL - Earthquake - April 2015,"","","",0.903999,"","","","","",,"","","","","",2015-05-22,Incoming,Incoming,FALSE,FALSE
130084,442478,2015,2015-06-03T11:50:00Z,2015-05-26T00:00:00Z,2015-05-26T00:00:00Z,Natural disasters / Provision of Humanitarian Air Services in Nepal (part of ECHO/-SA/BUD/2015/91032),2015-06-03T09:00:51Z,Standard,t,EUR,Traditional aid,152868,paid,2017-11-21,1,incoming,single,8523,37,European Commission's Humanitarian Aid and Civil Protection Department,2015,486,3049,8,156,NPL,41729,37,Nepal Earthquake Flash Appeal 2015,World Food Programme,Logistics,Nepal,Provision of Humanitarian Air Services in Nepal,2015,Primary,World Food Programme,From EDRIS,2015-06-03T09:00:51.000Z,400000,"","","",629,NEPAL - Earthquake - April 2015,"part of ECHO/-SA/BUD/2015/91032, [EDRIS:-32847]","","",0.904,"","","","","",,"",1988,LOGISTICS,"","",2015-05-26,Incoming,Incoming,FALSE,FALSE
130280,803213,2015,2015-06-08T15:25:00Z,2015-05-12T00:00:00Z,2015-05-12T00:00:00Z,IFRC Nepal Appeal,2015-06-08T15:25:00Z,Standard,t,AUD,Traditional aid,,paid,2015-06-08,1,incoming,single,4391,37,"Australia, Government of",2015,"",4393,"",156,NPL,,37,"",International Federation of Red Cross and Red Crescent Societies,"",Nepal,"",2015,Primary,"Australia, Government of",Other,2015-06-08T15:25:00.000Z,1000000,14,AUS,Australia,629,NEPAL - Earthquake - April 2015,"","","",1.245,"","","","","",,"","","","","",2015-05-12,Incoming,,FALSE,FALSE
130294,460797,2015,2015-06-09T17:29:00Z,2015-06-05T00:00:00Z,2015-06-05T00:00:00Z,Support to IOM Demolitions,2015-06-09T09:01:26Z,Standard,t,SEK,Traditional aid,,commitment,2015-06-09,1,incoming,single,2921,37,"Sweden, Government of",2015,"",2884,26480,156,NPL,,37,"",Swedish Civil Contingencies Agency (MSB),Coordination and support services,Nepal,"",2015,Primary,"Sweden, Government of",From EDRIS,2015-06-09T09:01:26.000Z,3920000,216,SWE,Sweden,629,NEPAL - Earthquake - April 2015,[EDRIS:71589],"","",8.507,"","","","","",,"","","","","",2015-06-05,Incoming,,FALSE,FALSE
130295,553097,2015,2015-06-09T17:31:00Z,2015-05-20T00:00:00Z,2015-05-20T00:00:00Z,Aid to victims of earthquakes in Nepal,2015-06-09T09:01:26Z,Standard,t,EUR,Traditional aid,,commitment,2015-06-09,1,incoming,single,5295,37,"Finland, Government of",2015,486,2849,4,156,NPL,41677,37,Nepal Earthquake Flash Appeal 2015,Save the Children,Emergency Shelter and NFI,Nepal,Shelter support through NFIs and training,2015,Primary,"Finland, Government of",From EDRIS,2015-06-09T09:01:26.000Z,500000,75,FIN,Finland,629,NEPAL - Earthquake - April 2015,[EDRIS:71462],"","",0.904,"","","","","",,"",1990,SHELTER AND NFIs,"","",2015-05-20,Incoming,Incoming,FALSE,FALSE
130296,663717,2015,2015-06-09T17:32:00Z,2015-05-19T00:00:00Z,2015-05-19T00:00:00Z,Aid to victims of earthquakes in Nepal,2015-06-09T09:01:26Z,Standard,t,EUR,Traditional aid,,commitment,2015-06-09,1,incoming,single,5295,37,"Finland, Government of",2015,486,8500,3,156,NPL,42197,37,Nepal Earthquake Flash Appeal 2015,ACT Alliance / Finn Church Aid,Education,Nepal,Quality education and psychosocial support to earthquake affected school children and adolescent in Nepal,2015,Primary,"Finland, Government of",From EDRIS,2015-06-09T09:01:26.000Z,600000,75,FIN,Finland,629,NEPAL - Earthquake - April 2015,[EDRIS:71461],"","",0.904,"","","","","",,"",1985,EDUCATION,"","",2015-05-19,Incoming,Incoming,FALSE,FALSE
130357,544662,2015,2015-06-10T15:53:00Z,2015-05-19T00:00:00Z,2015-05-19T00:00:00Z,Aid to victims of earthquakes in Nepal,2015-06-10T09:01:36Z,Standard,t,EUR,Traditional aid,,paid,2015-07-03,1,incoming,single,5295,37,"Finland, Government of",2015,486,4398,7,156,NPL,41777,37,Nepal Earthquake Flash Appeal 2015,World Health Organization,Health,Nepal,Addressing health needs in the earthquake affected population,2015,Primary,"Finland, Government of",From EDRIS,2015-06-10T09:01:36.000Z,500000,75,FIN,Finland,629,NEPAL - Earthquake - April 2015,[EDRIS:71460],"","",0.918001,"","","","","",,"",1986,HEALTH,"","",2015-05-19,Incoming,Incoming,FALSE,FALSE
130259,435730,2015,2015-06-08T11:49:00Z,2015-06-03T00:00:00Z,2015-06-03T00:00:00Z,Emergency humanitarian assistance for earthquake victims in Nepal in 2015 (AA-S05 321.50 NPL 04/15),2015-06-05T09:01:35Z,Standard,t,EUR,Traditional aid,,commitment,2015-06-08,1,incoming,single,4306,37,"Germany, Government of",2015,"",2992,"",156,NPL,,37,"",German Red Cross,"",Nepal,"",2015,Primary,"Germany, Government of",From EDRIS,2015-06-05T09:01:35.000Z,400000,83,DEU,Germany,629,NEPAL - Earthquake - April 2015,"AA-S05 321.50 NPL 04/15, [EDRIS:71587]","","",0.918,"","","","","",,"","","","","",2015-06-03,Incoming,,FALSE,FALSE
130260,221239,2015,2015-06-08T11:51:00Z,2015-05-19T00:00:00Z,2015-05-19T00:00:00Z,Emergency assistance to earthquake victims in the district of Sindhupalchowk / Nepal (AA-S05 321.50 NPL 07/15),2015-06-05T09:01:35Z,Standard,t,EUR,Traditional aid,,commitment,2015-06-08,1,incoming,single,4306,37,"Germany, Government of",2015,"",3050,"",156,NPL,,37,"",Johanniter Unfallhilfe e.V.,"",Nepal,"",2015,Primary,"Germany, Government of",From EDRIS,2015-06-05T09:01:35.000Z,200000,83,DEU,Germany,629,NEPAL - Earthquake - April 2015,"AA-S05 321.50 NPL 07/15, [EDRIS:71585]","","",0.904,"","","","","",,"","","","","",2015-05-19,Incoming,,FALSE,FALSE
130261,331858,2015,2015-06-08T11:52:00Z,2015-05-19T00:00:00Z,2015-05-19T00:00:00Z,Emergency assistance for victims of the earthquake on 4/25/2015 (AA-S05 321.50 NPL 02/15),2015-06-05T09:01:35Z,Standard,t,EUR,Traditional aid,,commitment,2015-06-08,1,incoming,single,4306,37,"Germany, Government of",2015,"",4389,"",156,NPL,,37,"",Deutsche Welthungerhilfe e.V. (German Agro Action),"",Nepal,"",2015,Primary,"Germany, Government of",From EDRIS,2015-06-05T09:01:35.000Z,300000,83,DEU,Germany,629,NEPAL - Earthquake - April 2015,"AA-S05 321.50 NPL 02/15, [EDRIS:71584]","","",0.904,"","","","","",,"","","","","",2015-05-19,Incoming,,FALSE,FALSE
