Donor,amountUSD
European Commission's Humanitarian Aid and Civil Protection Department,6063308
Central Emergency Response Fund,3049997
UN COVID-19 Response and Recovery Fund,893000
"Japan, Government of",2121418
"Germany, Government of",19514
"United Kingdom, Government of",5174644
